Product,Totalsale
POSTAGE,43034.0
RABBIT NIGHT LIGHT,18088.24
REGENCY CAKESTAND 3 TIER,14094.75
ROUND SNACK BOXES SET OF4 WOODLAND ,13693.65
SPACEBOY LUNCH BOX ,10917.449999999999
DOLLY GIRL LUNCH BOX,8588.4
ROUND SNACK BOXES SET OF 4 FRUITS ,7147.0
RED TOADSTOOL LED NIGHT LIGHT,6997.200000000001
PLASTERS IN TIN WOODLAND ANIMALS,5623.5
JUMBO BAG RED RETROSPOT,5607.93
PLASTERS IN TIN SPACEBOY,5241.9
GUMBALL COAT RACK,4911.599999999999
JUMBO BAG WOODLAND ANIMALS,4497.36
PLASTERS IN TIN CIRCUS PARADE ,4387.2
RED RETROSPOT MINI CASES,4088.55
CHILDRENS CUTLERY POLKADOT PINK,4086.1
STRAWBERRY LUNCH BOX WITH CUTLERY,4057.65
LUNCH BAG RED RETROSPOT,3884.6
LUNCH BOX WITH CUTLERY RETROSPOT ,3868.35
LUNCH BAG WOODLAND,3640.4
5 HOOK HANGER RED MAGIC TOADSTOOL,3531.0
SET OF 3 REGENCY CAKE TINS,3310.9500000000003
LUNCH BAG SPACEBOY DESIGN ,3165.6
CHILDRENS CUTLERY SPACEBOY ,3159.65
PACK OF 72 RETROSPOT CAKE CASES,2969.58
RED KITCHEN SCALES,2929.1
JUMBO BAG PINK POLKADOT,2917.04
WOODLAND CHARLOTTE BAG,2802.4
ALARM CLOCK BAKELIKE PINK,2790.75
MINI PAINT SET VINTAGE ,2767.8
LUNCH BAG APPLE DESIGN,2735.75
ASSORTED COLOUR BIRD ORNAMENT,2725.88
PLASTERS IN TIN STRONGMAN,2716.8
FAWN BLUE HOT WATER BOTTLE,2703.0
SET/10 RED POLKADOT PARTY CANDLES,2690.84
CIRCUS PARADE LUNCH BOX ,2644.2
SET OF 2 TEA TOWELS APPLE AND PEARS,2601.8
CHILDRENS CUTLERY DOLLY GIRL ,2578.4
JAM MAKING SET PRINTED,2558.6
 SPACEBOY BABY GIFT SET,2554.65
JUMBO BAG APPLES,2449.66
RED RETROSPOT UMBRELLA,2425.2
RED RETROSPOT CHARLOTTE BAG,2407.65
JAM MAKING SET WITH JARS,2247.5
RED RETROSPOT PICNIC BAG,2225.55
MINI LIGHTS WOODLAND MUSHROOMS,2200.02
6 RIBBONS RUSTIC CHARM,2184.9
IVORY KITCHEN SCALES,2096.95
ALARM CLOCK BAKELIKE RED ,2078.25
MEMO BOARD COTTAGE DESIGN,2074.5
JUMBO BAG SPACEBOY DESIGN,2068.87
CHILDRENS CUTLERY POLKADOT BLUE,2055.0
CREAM CUPID HEARTS COAT HANGER,2044.0
SET/10 PINK POLKADOT PARTY CANDLES,2033.34
REVOLVER WOODEN RULER ,2032.6499999999999
EDWARDIAN PARASOL BLACK,1992.75
JUMBO BAG DOILEY PATTERNS,1980.38
SET OF 4 KNICK KNACK TINS DOILEY ,1973.8
PLASTERS IN TIN VINTAGE PAISLEY ,1970.55
CLOTHES PEGS RETROSPOT PACK 24 ,1955.8
CHILDRENS APRON SPACEBOY DESIGN,1947.3
3 HOOK HANGER MAGIC GARDEN,1941.9
SKULL LUNCH BOX WITH CUTLERY ,1912.2
ALARM CLOCK BAKELIKE GREEN,1871.25
DOLLY GIRL BABY GIFT SET,1846.95
SET/10 BLUE POLKADOT PARTY CANDLES,1823.34
PAPER BUNTING RETROSPOT,1813.1
CIRCUS PARADE BABY GIFT SET,1813.0500000000002
JUMBO BAG OWLS,1806.48
SET OF 4 KNICK KNACK TINS DOILY ,1806.25
RED SPOTTY BISCUIT TIN,1796.25
DOORMAT RED RETROSPOT,1789.95
SET 2 PANTRY DESIGN TEA TOWELS,1777.25
RETROSPOT TEA SET CERAMIC 11 PC ,1777.2
3 PIECE SPACEBOY COOKIE CUTTER SET,1767.0
RED RETROSPOT CAKE STAND,1745.7
FOOD CONTAINER SET 3 LOVE HEART ,1745.1
PLASTERS IN TIN SKULLS,1737.75
LUNCH BAG DOLLY GIRL DESIGN,1731.1
CHILDRENS CUTLERY CIRCUS PARADE,1718.8500000000001
EDWARDIAN PARASOL RED,1689.3000000000002
CHARLOTTE BAG APPLES DESIGN,1656.8
COFFEE MUG APPLES DESIGN,1649.1
LUNCH BAG PINK POLKADOT,1645.1
SET/2 RED RETROSPOT TEA TOWELS ,1641.35
JUMBO BAG VINTAGE DOILY ,1637.5600000000002
SET OF 5 LUCKY CAT MAGNETS ,1611.8400000000001
SPACEBOY BEAKER,1607.25
LUNCH BAG SUKI DESIGN ,1607.15
36 FOIL HEART CAKE CASES,1591.1999999999998
BREAD BIN DINER STYLE IVORY,1582.8
 DOLLY GIRL BEAKER,1567.25
SET/20 RED RETROSPOT PAPER NAPKINS ,1563.01
SPACEBOY MINI BACKPACK,1560.0
CHILDRENS CUTLERY POLKADOT GREEN ,1552.6
SET 7 BABUSHKA NESTING BOXES,1551.7
WOODLAND MINI BACKPACK,1517.75
LUNCH BAG DOILEY PATTERN ,1515.15
DOUGHNUT LIP GLOSS ,1507.0
CHILDREN'S APRON DOLLY GIRL ,1498.4
RED  HARMONICA IN BOX ,1484.4
RETROSPOT PARTY BAG + STICKER SET,1469.25
BAKING SET 9 PIECE RETROSPOT ,1462.35
MINT KITCHEN SCALES,1460.3
GINGHAM HEART DECORATION,1448.14
PACK OF 6 BIRDY GIFT TAGS,1443.48
SET/6 RED SPOTTY PAPER PLATES,1430.96
CHARLOTTE BAG PINK POLKADOT,1416.0
JUMBO BAG STRAWBERRY,1410.72
WHITE HANGING HEART T-LIGHT HOLDER,1404.95
LUNCH BOX I LOVE LONDON,1389.6
SET OF 4 KNICK KNACK TINS LONDON ,1382.45
ICE CREAM SUNDAE LIP GLOSS,1369.2
SET OF 12 FAIRY CAKE BAKING CASES,1361.47
SPACEBOY CHILDRENS BOWL,1359.75
JUMBO BAG PEARS,1350.28
SET OF 5 PANCAKE DAY MAGNETS,1348.8
RED RETROSPOT CHILDRENS UMBRELLA,1348.75
BLACK/BLUE POLKADOT UMBRELLA,1343.1
WOODLAND PARTY BAG + STICKER SET,1322.7
JUMBO BAG 50'S CHRISTMAS ,1322.16
CHILDRENS APRON APPLES DESIGN,1308.0
"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1269.45
SET OF 12 MINI LOAF BAKING CASES,1268.51
LUNCH BAG CARS BLUE,1261.05
RETROSPOT HEART HOT WATER BOTTLE,1258.5
PACK OF 20 NAPKINS RED APPLES,1256.36
RETROSPOT CHILDRENS APRON,1253.1
JUMBO BAG ALPHABET,1251.24
BLACK KITCHEN SCALES,1249.5
EDWARDIAN PARASOL NATURAL,1231.15
LUNCH BAG  BLACK SKULL.,1215.05
ROSE COTTAGE KEEPSAKE BOX ,1204.05
SET/6 RED SPOTTY PAPER CUPS,1201.2
CAKE STAND 3 TIER MAGIC GARDEN,1200.3
GINGERBREAD MAN COOKIE CUTTER,1194.31
CHARLOTTE BAG DOLLY GIRL DESIGN,1188.7
REGENCY TEAPOT ROSES ,1188.6499999999999
SET OF 20 KIDS COOKIE CUTTERS,1186.5
BREAD BIN DINER STYLE RED ,1186.1
SET OF 72 RETROSPOT PAPER  DOILIES,1181.8
CHILDRENS CUTLERY RETROSPOT RED ,1161.2
RED RETROSPOT PLATE ,1161.2
CHARLOTTE BAG SUKI DESIGN,1159.46
SET 40 HEART SHAPE PETIT FOUR CASES,1156.35
FILIGRIS HEART WITH BUTTERFLY,1155.84
PARTY BUNTING,1151.9
LUNCH BAG ALPHABET DESIGN,1143.9
DOLLY GIRL MINI BACKPACK,1140.1
10 COLOUR SPACEBOY PEN,1132.08
DINOSAUR LUNCH BOX WITH CUTLERY,1126.8
SET OF 10 LED DOLLY LIGHTS,1123.69
GIRAFFE WOODEN RULER,1118.7
SPOTTY BUNTING,1118.3
BLUE HARMONICA IN BOX ,1110.0
SPACEBOY CHILDRENS CUP,1099.8
LUNCH BAG VINTAGE DOILY ,1096.45
BLUE 3 PIECE POLKADOT CUTLERY SET,1065.51
JUMBO BAG PINK VINTAGE PAISLEY,1055.9
PINK OWL SOFT TOY,1036.8
3 HEARTS HANGING DECORATION RUSTIC,1026.3999999999999
BREAD BIN DINER STYLE PINK,1020.6
SET OF 4 PANTRY JELLY MOULDS,1016.81
WHITE SPOT RED CERAMIC DRAWER KNOB,1014.44
SET OF 6 TEA TIME BAKING CASES,1013.73
ASSORTED COLOUR MINI CASES,1009.65
ALARM CLOCK BAKELIKE IVORY,998.25
PACK OF 60 MUSHROOM CAKE CASES,996.6
SET OF 5 MINI GROCERY MAGNETS,978.0
SPACEBOY BIRTHDAY CARD,976.32
TRADTIONAL ALPHABET STAMP SET,972.9
CAKE STAND WHITE TWO TIER LACE,972.1
36 PENCILS TUBE RED RETROSPOT,968.86
STRAWBERRY CERAMIC TRINKET BOX,963.73
JUMBO STORAGE BAG SKULLS,961.87
DOORMAT SPOTTY HOME SWEET HOME,961.5
MEMO BOARD RETROSPOT  DESIGN,954.85
RED 3 PIECE RETROSPOT CUTLERY SET,953.01
SET OF 3 CAKE TINS PANTRY DESIGN ,952.75
JUMBO BAG DOLLY GIRL DESIGN,951.29
EDWARDIAN PARASOL PINK,939.6
SET OF 3 NOTEBOOKS IN PARCEL,936.9
HAND WARMER OWL DESIGN,936.0
ROUND CONTAINER SET OF 5 RETROSPOT,934.65
TABLECLOTH RED APPLES DESIGN ,934.5
SET OF 9 BLACK SKULL BALLOONS,934.0
FOLKART ZINC HEART CHRISTMAS DEC,932.2900000000001
BOX OF 6 MINI 50'S CRACKERS,931.98
PINK HAPPY BIRTHDAY BUNTING,928.25
PACK OF 60 SPACEBOY CAKE CASES,928.1999999999999
PACK 3 BOXES BIRD PANNETONE ,925.2
CHILDS BREAKFAST SET SPACEBOY ,923.95
ASSORTED COLOURS SILK FAN,922.08
BUNDLE OF 3 ALPHABET EXERCISE BOOKS,917.55
PINK 3 PIECE POLKADOT CUTLERY SET,913.9100000000001
CHILDS BREAKFAST SET CIRCUS PARADE,911.2
SET OF 9 HEART SHAPED BALLOONS,894.9
